,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,sodium,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,glycine,carbohydrate,fiber,sugars,glucose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,water
8092,"Beverages, prepared with water, without added sodium, powder, fruit punch-flavor drink",100 g,37,0g,,0,0.00 g,7.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,11.8 mg,0,0.00 mg,0.0 mcg,17.00 mg,0.021 mg,0.05 mg,1.00 mg,0.003 mg,0.00 mg,1.00 mg,0.1 mcg,0.02 mg,0,9.47 g,0.0 g,9.23 g,0,0,0.01 g,0.006 g,0.001 g,0.001 g,0.00 mg,0.0 g,0.17 g,0.00 mg,90.35 g
8093,"Vegetables, no salt added, mixed (corn, lima beans, peas, green beans, carrots) canned",100 g,37,0.2g,,0,1.40 g,26.00 mg,11651.00 IU,583.00 mcg,0.00 mcg,0.080 mg,3.8 mg,0.00 IU,0.29 mg,18.2 mcg,21.00 mg,0.104 mg,0.65 mg,15.00 mg,0,37.00 mg,138.00 mg,0.3 mcg,0.51 mg,0,7.31 g,3.1 g,2.41 g,0,0,0.20 g,0.039 g,0.022 g,0.098 g,0.00 mg,0.0 g,0.89 g,0.00 mg,90.20 g
8094,"Squash, without salt, drained, boiled, cooked, frozen, includes skin, zucchini, summer",100 g,17,0.1g,,0,1.15 g,2.00 mg,177.00 IU,9.00 mcg,0.00 mcg,0.045 mg,3.7 mg,0.00 IU,0.12 mg,4.2 mcg,17.00 mg,0.047 mg,0.48 mg,13.00 mg,0.230 mg,25.00 mg,194.00 mg,0.2 mcg,0.20 mg,0.043 g,3.56 g,1.3 g,1.69 g,0,0,0.13 g,0.027 g,0.010 g,0.055 g,0.00 mg,0.0 g,0.42 g,0.00 mg,94.74 g
8095,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, roast, tip round, round",100 g,126,4g,1.4g,57mg,21.07 g,54.00 mg,0.00 IU,0.00 mcg,1.47 mcg,0.612 mg,0.0 mg,0,0.27 mg,1.1 mcg,18.00 mg,0.091 mg,1.77 mg,22.00 mg,0.013 mg,198.00 mg,323.00 mg,26.0 mcg,3.89 mg,1.283 g,0.00 g,0.0 g,0.00 g,0,0,3.95 g,1.376 g,1.641 g,0.201 g,57.00 mg,0.0 g,1.03 g,0.00 mg,74.48 g
8096,"Pork, roasted, cooked, separable lean only, bone-in, center rib (roasts), loin, fresh",100 g,206,9.2g,3.3g,78mg,28.82 g,95.00 mg,9.00 IU,3.00 mcg,0.89 mcg,0.516 mg,0.0 mg,24.00 IU,0.23 mg,0.0 mcg,13.00 mg,0.082 mg,1.02 mg,22.00 mg,0.007 mg,244.00 mg,287.00 mg,43.1 mcg,3.09 mg,1.303 g,0.00 g,0.0 g,0.00 g,0,0,9.21 g,3.254 g,3.830 g,1.453 g,78.00 mg,0.0 g,1.14 g,0.00 mg,61.44 g
8097,"Pork, roasted, cooked, separable lean and fat, bone-in, sirloin (roasts), loin, fresh",100 g,230,13g,4.1g,89mg,26.64 g,57.00 mg,6.00 IU,2.00 mcg,0.64 mcg,0.750 mg,0.0 mg,29.00 IU,0.11 mg,0.0 mcg,15.00 mg,0.116 mg,0.94 mg,25.00 mg,0.009 mg,228.00 mg,340.00 mg,44.4 mcg,2.52 mg,1.200 g,0.00 g,0.0 g,0.00 g,0,0,12.87 g,4.113 g,5.042 g,1.499 g,89.00 mg,0.0 g,1.07 g,0.00 mg,59.34 g
8098,"Pork, roasted, heated, separable lean only, bone-in, shank, ham -- water added, cured",100 g,128,4.4g,1.4g,65mg,20.92 g,1060.00 mg,37.00 IU,11.00 mcg,0.60 mcg,0.348 mg,0.0 mg,0,0.28 mg,0.0 mcg,9.00 mg,0.122 mg,1.56 mg,18.00 mg,0.022 mg,216.00 mg,241.00 mg,26.2 mcg,3.09 mg,1.093 g,1.20 g,0.0 g,0.91 g,0.15 g,0.70 g,4.43 g,1.402 g,1.911 g,0.641 g,65.00 mg,0.0 g,3.48 g,0.00 mg,69.97 g
8099,"Pork, unheated, separable lean and fat, bone-in, rump, ham with natural juices, cured",100 g,200,13g,4.4g,67mg,19.70 g,838.00 mg,36.00 IU,11.00 mcg,0.47 mcg,0.306 mg,0.0 mg,0,0.34 mg,0.0 mcg,8.00 mg,0.107 mg,0.94 mg,19.00 mg,0.022 mg,231.00 mg,278.00 mg,36.0 mcg,2.15 mg,1.065 g,0.43 g,0.0 g,0.43 g,0.26 g,0.05 g,13.26 g,4.373 g,6.030 g,1.830 g,67.00 mg,0.0 g,2.76 g,0.00 mg,63.86 g
8100,"Pork, unheated, separable lean and fat, boneless, whole, ham and water product, cured",100 g,117,5g,1.5g,43mg,14.05 g,1308.00 mg,45.00 IU,13.00 mcg,0.34 mcg,0.294 mg,0.0 mg,23.00 IU,0.15 mg,0.0 mcg,8.00 mg,0.107 mg,0.78 mg,17.00 mg,0.040 mg,228.00 mg,267.00 mg,29.4 mcg,1.59 mg,0.734 g,4.21 g,0.0 g,4.21 g,3.65 g,0.00 g,4.99 g,1.489 g,2.098 g,0.660 g,43.00 mg,0.0 g,4.00 g,0.00 mg,72.96 g
8101,"Margarine-like, with added vitamin D, with salt, stick, 60% fat, vegetable oil spread",100 g,537,60g,11g,0,0.12 g,785.00 mg,3577.00 IU,819.00 mcg,0.07 mcg,0.006 mg,0.1 mg,429.00 IU,5.00 mg,101.3 mcg,21.00 mg,0.008 mg,0.00 mg,2.00 mg,0,16.00 mg,30.00 mg,0.0 mcg,0.00 mg,0,0.69 g,0.0 g,0.00 g,0,0,60.39 g,10.884 g,29.664 g,16.718 g,0.00 mg,0.0 g,1.84 g,0.00 mg,36.95 g
8102,"Soup, prepared with equal volume low fat (2%) milk, canned, new england, clam chowder",100 g,61,2g,1.1g,7mg,3.24 g,273.00 mg,127.00 IU,37.00 mcg,4.84 mcg,0.070 mg,2.1 mg,25.00 IU,0.22 mg,0.5 mcg,70.00 mg,0.118 mg,1.21 mg,12.00 mg,0.087 mg,173.00 mg,179.00 mg,4.4 mcg,0.43 mg,0,7.46 g,0.3 g,2.81 g,0,0,2.02 g,1.094 g,0.268 g,0.513 g,7.00 mg,0.0 g,1.79 g,0.00 mg,85.49 g
8103,"PREGO Pasta, ready-to-serve, Heart Smart- Roasted Red Pepper and Garlic Italian Sauce",100 g,56,1.2g,,0,1.60 g,288.00 mg,800.00 IU,0,0,0,1.9 mg,0,0,0,16.00 mg,0,0.58 mg,0,0,0,328.00 mg,0,0,0,10.40 g,2.4 g,7.20 g,0,0,1.20 g,0.000 g,0,0,0.00 mg,0,2.90 g,0,83.50 g
8104,"Pork, broiled, cooked, separable lean and fat, boneless, sirloin (chops), loin, fresh",100 g,170,5.5g,1.8g,76mg,28.19 g,65.00 mg,8.00 IU,2.00 mcg,0.75 mcg,0.584 mg,0.0 mg,26.00 IU,0.26 mg,0.0 mcg,11.00 mg,0.085 mg,0.87 mg,27.00 mg,0.015 mg,292.00 mg,420.00 mg,45.3 mcg,2.15 mg,1.274 g,0.00 g,0.0 g,0.00 g,0,0,5.53 g,1.785 g,2.106 g,0.822 g,76.00 mg,0.0 g,1.37 g,0.00 mg,65.98 g
8105,"Pork, braised, cooked, separable lean and fat, boneless, sirloin (chops), loin, fresh",100 g,171,5.5g,1.9g,80mg,28.41 g,56.00 mg,7.00 IU,2.00 mcg,0.62 mcg,0.523 mg,0.0 mg,15.00 IU,0.18 mg,0.0 mcg,11.00 mg,0.083 mg,0.71 mg,25.00 mg,0.014 mg,291.00 mg,411.00 mg,45.5 mcg,2.01 mg,1.284 g,0.00 g,0.0 g,0.00 g,0,0,5.47 g,1.870 g,2.246 g,0.963 g,80.00 mg,0.0 g,1.41 g,0.00 mg,65.78 g
8106,"Pork, roasted, cooked, boneless, separable lean only, country-style ribs, loin, fresh",100 g,219,11g,4.1g,99mg,29.20 g,72.00 mg,5.00 IU,1.00 mcg,0.90 mcg,0.523 mg,0.0 mg,30.00 IU,0.27 mg,0.0 mcg,12.00 mg,0.083 mg,0.98 mg,26.00 mg,0.017 mg,294.00 mg,486.00 mg,48.5 mcg,2.66 mg,1.320 g,0.00 g,0.0 g,0.00 g,0,0,11.38 g,4.079 g,4.880 g,1.666 g,99.00 mg,0.0 g,1.26 g,0.00 mg,58.72 g
8107,"Pork, broiled, cooked, boneless, separable lean only, country-style ribs, loin, fresh",100 g,216,12g,2.8g,89mg,27.83 g,58.00 mg,9.00 IU,3.00 mcg,0.73 mcg,0.575 mg,0.0 mg,44.00 IU,0.26 mg,0.0 mcg,7.00 mg,0.069 mg,0.92 mg,26.00 mg,0.010 mg,285.00 mg,431.00 mg,47.4 mcg,2.46 mg,1.258 g,0.00 g,0.0 g,0.00 g,0,0,11.65 g,2.831 g,3.301 g,1.154 g,89.00 mg,0.0 g,1.10 g,0.00 mg,59.98 g
8108,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean only, arm pot roast, chuck",100 g,132,4.2g,1.6g,65mg,22.11 g,74.00 mg,0.00 IU,0.00 mcg,1.88 mcg,0.532 mg,0.0 mg,0,0.28 mg,1.1 mcg,16.00 mg,0.093 mg,1.93 mg,23.00 mg,0.014 mg,203.00 mg,337.00 mg,25.2 mcg,5.55 mg,1.346 g,0.00 g,0.0 g,0.00 g,0,0,4.19 g,1.553 g,1.756 g,0.181 g,65.00 mg,0.0 g,1.01 g,0.00 mg,73.32 g
8109,"Beverages, with non dairy creamer, decaffeinated, sweetened, vanilla, instant, coffee",100 g,465,13g,13g,0,0.00 g,333.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.00 mg,0.0 mcg,0.00 mg,0.000 mg,0.00 mg,0.00 mg,0,0.00 mg,57.00 mg,0.0 mcg,0.00 mg,0,86.28 g,0.0 g,66.67 g,0,0,13.33 g,13.333 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.23 g,0.00 mg,0.16 g
8110,"Chicken, original seasoning, rotisserie, cooked, meat only, thigh, broilers or fryers",100 g,196,11g,2.9g,130mg,24.06 g,337.00 mg,45.00 IU,13.00 mcg,0.45 mcg,0.176 mg,0.0 mg,0,0.25 mg,0.0 mcg,13.00 mg,0.084 mg,0.97 mg,21.00 mg,0.018 mg,217.00 mg,264.00 mg,27.0 mcg,2.01 mg,1.103 g,0.00 g,0.0 g,0.00 g,0.00 g,0.00 g,11.09 g,2.866 g,4.878 g,1.673 g,130.00 mg,0.0 g,1.56 g,0.00 mg,63.89 g
8111,"Cereals, with salt, cooked with water, enriched, regular and quick, white, corn grits",100 g,71,0.5g,0.1g,0,1.71 g,223.00 mg,0.00 IU,0.00 mcg,0.00 mcg,0.046 mg,0.0 mg,0.00 IU,0.03 mg,0.0 mcg,1.00 mg,0.000 mg,0.57 mg,7.00 mg,0.037 mg,20.00 mg,27.00 mg,3.1 mcg,0.18 mg,0.048 g,14.76 g,0.8 g,0.12 g,0,0,0.46 g,0.066 g,0.064 g,0.165 g,0.00 mg,0.0 g,0.15 g,0.00 mg,82.93 g
8112,"Beef, raw, all grades, trimmed to 1/8"" fat, separable lean and fat, steak, tenderloin",100 g,247,18g,8.4g,85mg,19.61 g,50.00 mg,0.00 IU,0.00 mcg,1.01 mcg,0.535 mg,0.0 mg,0,0.41 mg,1.6 mcg,23.00 mg,0.067 mg,1.42 mg,20.00 mg,0.011 mg,180.00 mg,302.00 mg,22.0 mcg,3.41 mg,1.194 g,0.00 g,0.0 g,0.00 g,0,0,18.16 g,8.410 g,8.930 g,0.790 g,85.00 mg,0.0 g,0.92 g,0.00 mg,61.52 g
8113,"Potatoes, as purchased, frozen, salt not added in processing, all types, french fried",100 g,150,4.7g,0.9g,0,2.24 g,23.00 mg,0,0,0.00 mcg,0.178 mg,17.3 mg,0.00 IU,0.10 mg,2.2 mcg,9.00 mg,0.093 mg,0.62 mg,21.00 mg,0.158 mg,83.00 mg,408.00 mg,0,0.35 mg,0,24.81 g,1.9 g,0.20 g,0.10 g,0.10 g,4.66 g,0.940 g,2.960 g,0.265 g,0.00 mg,0.0 g,1.68 g,0.00 mg,66.61 g
8114,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, bone-in, back ribs, rib",100 g,336,30g,13g,76mg,15.75 g,53.00 mg,18.00 IU,6.00 mcg,1.53 mcg,0.349 mg,0.0 mg,0,0,1.5 mcg,9.00 mg,0.059 mg,1.61 mg,17.00 mg,0,122.00 mg,214.00 mg,17.3 mcg,3.76 mg,0.777 g,0.90 g,0.0 g,0.00 g,0,0,29.89 g,13.296 g,14.553 g,1.219 g,76.00 mg,0.0 g,0.72 g,0.00 mg,52.74 g
8115,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, bone-in, back ribs, rib",100 g,305,26g,12g,73mg,16.75 g,52.00 mg,19.00 IU,6.00 mcg,1.59 mcg,0.397 mg,0.0 mg,7.00 IU,0,1.5 mcg,10.00 mg,0.060 mg,1.66 mg,17.00 mg,0,117.00 mg,224.00 mg,16.7 mcg,4.00 mg,0.829 g,0.60 g,0.0 g,0.00 g,0,0,26.23 g,11.663 g,12.698 g,1.100 g,73.00 mg,0.0 g,0.75 g,0.00 mg,55.67 g
8116,"Beef, raw, choice, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",100 g,187,11g,4.4g,64mg,19.46 g,88.00 mg,7.00 IU,2.00 mcg,3.21 mcg,0.390 mg,0.0 mg,4.00 IU,0,1.5 mcg,6.00 mg,0.143 mg,2.64 mg,24.00 mg,0,210.00 mg,357.00 mg,25.5 mcg,7.80 mg,0.874 g,1.75 g,0.0 g,0.00 g,0,0,11.40 g,4.359 g,5.171 g,0.453 g,64.00 mg,0.0 g,0.89 g,0.00 mg,66.50 g
8117,"Beef, raw, select, trimmed to 0"" fat, separable lean only, boneless, ribeye cap steak",100 g,169,9.4g,3.6g,63mg,20.05 g,84.00 mg,8.00 IU,2.00 mcg,2.57 mcg,0.370 mg,0.0 mg,3.00 IU,0,1.5 mcg,7.00 mg,0.131 mg,2.95 mg,25.00 mg,0,223.00 mg,365.00 mg,25.2 mcg,8.42 mg,1.026 g,1.15 g,0.0 g,0.00 g,0,0,9.39 g,3.626 g,4.082 g,0.344 g,63.00 mg,0.0 g,0.88 g,0.00 mg,68.53 g
8118,"Beef, raw, prime, trimmed to 1/8"" fat, separable lean and fat, whole (ribs 6-12), rib",100 g,355,32g,13g,72mg,16.15 g,53.00 mg,0.00 IU,0,2.76 mcg,0.310 mg,0.0 mg,0,0,0,9.00 mg,0.057 mg,1.70 mg,16.00 mg,0.011 mg,152.00 mg,263.00 mg,20.7 mcg,3.60 mg,0.881 g,0.00 g,0.0 g,0,0,0,31.66 g,13.220 g,13.770 g,1.150 g,72.00 mg,0,0.76 g,0,51.51 g
8119,"Chicken, flour, fried, cooked, meat and skin and giblets and neck, broilers or fryers",100 g,272,15g,4.2g,112mg,28.57 g,86.00 mg,826.00 IU,248.00 mcg,1.11 mcg,0.420 mg,0.5 mg,0,0,0,17.00 mg,0.100 mg,1.99 mg,25.00 mg,0.047 mg,194.00 mg,237.00 mg,16.6 mcg,2.36 mg,1.756 g,3.27 g,0,0,0,0,15.27 g,4.160 g,5.990 g,3.510 g,112.00 mg,0,1.01 g,0,51.88 g
8120,"Pork, raw, separable lean and fat, bone-in, center rib (chops or roasts), loin, fresh",100 g,186,11g,2.4g,58mg,20.28 g,56.00 mg,8.00 IU,2.00 mcg,0.54 mcg,0.682 mg,0.0 mg,26.00 IU,0.12 mg,0.0 mcg,25.00 mg,0.065 mg,0.59 mg,23.00 mg,0.008 mg,203.00 mg,337.00 mg,35.5 mcg,1.85 mg,0.914 g,0.00 g,0.0 g,0.00 g,0,0,11.04 g,2.365 g,2.756 g,0.964 g,58.00 mg,0.0 g,0.95 g,0.00 mg,67.83 g
8121,"Pork, braised, cooked, separable lean only, bone-in, center loin (chops), loin, fresh",100 g,200,7.9g,2.7g,81mg,30.20 g,75.00 mg,6.00 IU,2.00 mcg,0.66 mcg,0.555 mg,0.0 mg,29.00 IU,0.21 mg,0.0 mcg,53.00 mg,0.103 mg,0.91 mg,21.00 mg,0.013 mg,239.00 mg,288.00 mg,47.4 mcg,3.51 mg,1.365 g,0.00 g,0.0 g,0.00 g,0,0,7.86 g,2.671 g,3.114 g,1.089 g,81.00 mg,0.0 g,1.28 g,0.00 mg,61.79 g
8122,"Beverages, prepared with whole milk, powder, cereal grain beverage, coffee substitute",100 g,65,3.3g,2.1g,13mg,3.30 g,49.00 mg,124.00 IU,28.00 mcg,0.35 mcg,0.042 mg,0.9 mg,0,0,0,119.00 mg,0.012 mg,0.11 mg,16.00 mg,0.016 mg,99.00 mg,172.00 mg,5.5 mcg,0.38 mg,0.072 g,5.60 g,0.1 g,0,0,0,3.30 g,2.061 g,0.958 g,0.144 g,13.00 mg,0,0.80 g,0.00 mg,87.00 g
8123,"SUPPER BAKES MEAL KITS, Savory Pork Chops with herb stuffing (pork chop not included)",100 g,181,1.2g,0.6g,6mg,5.91 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.64 g,2.4 g,4.73 g,0,0,1.18 g,0.591 g,0,0,6.00 mg,0,3.96 g,0,52.30 g
8124,"Beverages,  3-2-1 Plan, ready-to-drink, regular, meal replacement, SLIMFAST, UNILEVER",100 g,57,1.9g,0.5g,3mg,3.32 g,68.00 mg,565.00 IU,170.00 mcg,0.68 mcg,0.225 mg,19.4 mg,45.00 IU,4.58 mg,6.5 mcg,161.00 mg,0.012 mg,0.87 mg,45.00 mg,0,161.00 mg,193.00 mg,5.7 mcg,0.72 mg,0,7.74 g,1.6 g,5.95 g,0,0,1.93 g,0.540 g,0.970 g,0.320 g,3.00 mg,0.0 g,0.86 g,0.00 mg,85.69 g
8125,"Pork, broiled, cooked, separable lean only, boneless, center rib (chops), loin, fresh",100 g,216,10g,3.6g,81mg,29.46 g,65.00 mg,6.00 IU,2.00 mcg,0.70 mcg,0.400 mg,0.3 mg,0,0,0,31.00 mg,0.070 mg,0.82 mg,28.00 mg,0.020 mg,245.00 mg,420.00 mg,47.3 mcg,2.38 mg,1.399 g,0.00 g,0.0 g,0,0,0,10.05 g,3.570 g,4.600 g,0.640 g,81.00 mg,0,1.16 g,0,56.95 g
8126,"Pork, braised, cooked, separable lean only, boneless, center rib (chops), loin, fresh",100 g,211,10g,4g,71mg,27.95 g,41.00 mg,6.00 IU,2.00 mcg,0.44 mcg,0.331 mg,0.3 mg,35.00 IU,0.21 mg,0.0 mcg,5.00 mg,0.074 mg,0.99 mg,19.00 mg,0.010 mg,173.00 mg,405.00 mg,45.4 mcg,2.16 mg,1.327 g,0.00 g,0.0 g,0.00 g,0,0,10.14 g,3.960 g,4.850 g,0.730 g,71.00 mg,0.0 g,1.26 g,0.00 mg,62.25 g
8127,"Infant formula, not reconstituted, powder, with iron, PROSOBEE, ENFAMIL, MEAD JOHNSON",100 g,510,27g,11g,0,12.50 g,180.00 mg,1500.00 IU,450.00 mcg,1.50 mcg,0.300 mg,60.0 mg,300.00 IU,6.70 mg,40.0 mcg,530.00 mg,0.380 mg,9.00 mg,55.00 mg,0,420.00 mg,600.00 mg,14.0 mcg,6.00 mg,0,54.30 g,0.0 g,53.00 g,0,0,27.00 g,11.370 g,10.320 g,5.200 g,0.00 mg,0.0 g,3.20 g,0.00 mg,3.00 g
8128,"Grapefruit juice, diluted with 3 volume water, unsweetened, frozen concentrate, white",100 g,41,0.1g,,0,0.55 g,1.00 mg,9.00 IU,0.00 mcg,0.00 mcg,0.044 mg,33.7 mg,0.00 IU,0.04 mg,0.0 mcg,8.00 mg,0.033 mg,0.14 mg,11.00 mg,0.020 mg,14.00 mg,136.00 mg,0.1 mcg,0.05 mg,0,9.73 g,0.1 g,9.63 g,0,0,0.13 g,0.019 g,0.018 g,0.032 g,0.00 mg,0.0 g,0.28 g,0.00 mg,89.30 g
8129,"Frostings, NFSMI Recipe No. C-32, with butter, prepared-from-recipe, chocolate, glaze",100 g,359,7.2g,4.5g,18mg,1.42 g,132.00 mg,249.00 IU,69.00 mcg,0.09 mcg,0.011 mg,0.1 mg,0,0.19 mg,0.7 mcg,32.00 mg,0.136 mg,0.60 mg,20.00 mg,0.140 mg,48.00 mg,130.00 mg,1.6 mcg,0.37 mg,0,72.18 g,1.1 g,64.30 g,0,0,7.17 g,4.483 g,1.894 g,0.294 g,18.00 mg,0.0 g,0.82 g,3.00 mg,18.27 g
8130,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, roast, tip round, round",100 g,156,7.7g,3.1g,63mg,20.16 g,51.00 mg,0.00 IU,0.00 mcg,1.71 mcg,0.595 mg,0.0 mg,0,0.30 mg,1.2 mcg,15.00 mg,0.089 mg,1.78 mg,21.00 mg,0.012 mg,191.00 mg,309.00 mg,24.2 mcg,3.68 mg,1.228 g,0.00 g,0.0 g,0.00 g,0,0,7.73 g,3.066 g,3.324 g,0.305 g,63.00 mg,0.0 g,0.99 g,0.00 mg,71.40 g
8131,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, roast, tip round, round",100 g,145,6.3g,2.5g,61mg,20.80 g,58.00 mg,0.00 IU,0.00 mcg,1.24 mcg,0.618 mg,0.0 mg,0,0.29 mg,1.2 mcg,23.00 mg,0.087 mg,1.59 mg,22.00 mg,0.012 mg,196.00 mg,327.00 mg,24.1 mcg,3.75 mg,1.267 g,0.00 g,0.0 g,0.00 g,0,0,6.28 g,2.489 g,2.699 g,0.247 g,61.00 mg,0.0 g,1.01 g,0.00 mg,72.62 g
8132,"VAN'S, Gluten Free, Crispy Six Whole Grain + Four Seed Baked Crackers, The Perfect 10",100 g,471,19g,,0,7.63 g,730.00 mg,0,0,0,0,0,0,0,0,57.00 mg,0.281 mg,1.94 mg,94.00 mg,2.360 mg,269.00 mg,255.00 mg,0,1.72 mg,0,67.57 g,0,0,0,0,18.93 g,0,0,0,0,0,2.79 g,0,3.09 g
8133,"Infant formula, not reconstituted, liquid concentrate, soy, store brand, PBM PRODUCTS",100 g,126,7g,3.2g,0,3.60 g,36.00 mg,393.00 IU,118.00 mcg,0.40 mcg,0.080 mg,10.8 mg,86.00 IU,0.83 mg,10.2 mcg,118.00 mg,0.092 mg,2.36 mg,14.00 mg,0,82.00 mg,138.00 mg,3.6 mcg,1.06 mg,0,12.18 g,0.0 g,12.18 g,0,0,7.00 g,3.200 g,2.800 g,1.000 g,0.00 mg,0.0 g,1.22 g,0.00 mg,76.00 g
8134,"Pork, pan-fried, cooked, separable lean only, boneless, top loin (chops), loin, fresh",100 g,172,4.6g,1.8g,69mg,30.46 g,87.00 mg,9.00 IU,3.00 mcg,0.83 mcg,0.579 mg,0.0 mg,20.00 IU,0.23 mg,0.0 mcg,8.00 mg,0.094 mg,0.84 mg,26.00 mg,0.011 mg,293.00 mg,390.00 mg,42.0 mcg,2.32 mg,1.377 g,0.00 g,0.0 g,0.00 g,0,0,4.62 g,1.784 g,2.113 g,0.679 g,69.00 mg,0.0 g,1.29 g,0.00 mg,64.81 g
8135,"Cereals ready-to-eat, KELLOGG'S SMART START Strong Heart Antioxidants Cereal, KELLOGG",100 g,371,1.5g,0.3g,0,7.50 g,398.00 mg,2500.00 IU,688.00 mcg,12.00 mcg,4.000 mg,30.0 mg,80.00 IU,27.00 mg,1.1 mcg,29.00 mg,0.263 mg,36.00 mg,29.00 mg,0,131.00 mg,182.00 mg,28.7 mcg,30.00 mg,0,86.80 g,5.4 g,27.79 g,0,0,1.50 g,0.300 g,0.100 g,0.500 g,0.00 mg,0.0 g,1.70 g,0.00 mg,2.50 g
8136,"Cheese product, fortified with vitamin D, reduced fat, American, pasteurized process",100 g,240,14g,8.9g,53mg,17.60 g,1201.00 mg,945.00 IU,250.00 mcg,1.11 mcg,0.080 mg,0.0 mg,212.00 IU,0.27 mg,2.6 mcg,529.00 mg,0.030 mg,0.20 mg,33.00 mg,0,829.00 mg,330.00 mg,12.4 mcg,2.36 mg,0,10.60 g,0.0 g,8.02 g,0,0,14.10 g,8.850 g,4.130 g,0.410 g,53.00 mg,0.0 g,5.90 g,0.00 mg,51.80 g
8137,"Infant formula, 24 calories ready-to-feed Low iron, Premature, ENFAMIL, MEAD JOHNSON",100 g,67,3.3g,1.3g,0,1.97 g,38.00 mg,828.00 IU,248.00 mcg,0.16 mcg,0.098 mg,13.1 mg,157.00 IU,1.86 mg,5.2 mcg,108.00 mg,0.079 mg,0.33 mg,6.00 mg,0.004 mg,54.00 mg,64.00 mg,1.8 mcg,0.98 mg,0,7.19 g,0.0 g,7.21 g,0,0,3.34 g,1.339 g,0.850 g,1.169 g,0.00 mg,0.0 g,0.27 g,0.00 mg,87.23 g
8138,"Infant formula, 20 calories ready-to-feed Low iron, Premature, ENFAMIL, MEAD JOHNSON",100 g,66,3.3g,1.7g,0,1.97 g,38.00 mg,833.00 IU,250.00 mcg,0.16 mcg,0.098 mg,13.1 mg,157.00 IU,1.86 mg,5.2 mcg,108.00 mg,0.079 mg,0.33 mg,6.00 mg,0.004 mg,54.00 mg,64.00 mg,1.8 mcg,0.98 mg,0,7.21 g,0.0 g,7.23 g,0,0,3.34 g,1.679 g,0.021 g,1.164 g,0.00 mg,0.0 g,0.52 g,0.00 mg,87.50 g
8139,"Pork, broiled, cooked, separable lean only, bone-in, center rib (chops), loin, fresh",100 g,186,8.4g,2.8g,66mg,25.79 g,57.00 mg,0.00 IU,0.00 mcg,0.52 mcg,0.675 mg,0.0 mg,32.00 IU,0.10 mg,0.0 mcg,26.00 mg,0.088 mg,0.68 mg,25.00 mg,0.007 mg,218.00 mg,343.00 mg,45.4 mcg,2.25 mg,1.162 g,0.00 g,0.0 g,0.00 g,0,0,8.36 g,2.816 g,3.482 g,0.913 g,66.00 mg,0.0 g,1.02 g,0.00 mg,65.14 g
8140,"Pork, braised, cooked, separable lean and fat, bone-in, sirloin (chops), loin, fresh",100 g,234,12g,4.3g,87mg,28.81 g,58.00 mg,13.00 IU,4.00 mcg,0.63 mcg,0.507 mg,0.0 mg,22.00 IU,0.22 mg,0.0 mcg,12.00 mg,0.085 mg,0.71 mg,24.00 mg,0.013 mg,285.00 mg,400.00 mg,44.1 mcg,1.97 mg,1.302 g,0.00 g,0.0 g,0.00 g,0,0,12.31 g,4.294 g,5.180 g,2.160 g,87.00 mg,0.0 g,1.20 g,0.00 mg,58.88 g
8141,"Pork, broiled, cooked, separable lean and fat, bone-in, sirloin (chops), loin, fresh",100 g,222,12g,4g,87mg,26.96 g,86.00 mg,16.00 IU,5.00 mcg,0.75 mcg,0.562 mg,0.0 mg,42.00 IU,0.24 mg,0.0 mcg,60.00 mg,0.120 mg,1.01 mg,23.00 mg,0.012 mg,280.00 mg,363.00 mg,41.8 mcg,3.60 mg,1.218 g,0.00 g,0.0 g,0.00 g,0,0,11.82 g,4.045 g,4.842 g,1.908 g,87.00 mg,0.0 g,1.21 g,0.00 mg,60.58 g
8142,"Pork, roasted, heated, separable lean only, bone-in, rump, ham -- water added, cured",100 g,121,3.6g,1.3g,62mg,21.41 g,1150.00 mg,37.00 IU,11.00 mcg,0.36 mcg,0.434 mg,0.0 mg,0,0.20 mg,0.0 mcg,8.00 mg,0.098 mg,0.71 mg,18.00 mg,0.022 mg,246.00 mg,250.00 mg,27.5 mcg,1.81 mg,1.118 g,0.87 g,0.0 g,0.84 g,0.04 g,0.75 g,3.56 g,1.254 g,1.610 g,0.387 g,62.00 mg,0.0 g,3.23 g,0.00 mg,70.92 g
